timestamp,cpu_activty,mem_usage,rx_bytes,tx_bytes
1355663567,2,55,2427464,239185
1355663568,2,55,60,54
1355663569,0,55,0,0
1355663570,2,55,0,0
1355663571,28,55,342,54
1355663572,2,55,0,0
1355663573,0,55,0,0
1355663574,4,55,0,0
1355663575,6,55,0,0
1355663576,4,55,122,108
1355663577,0,55,0,0
1355663578,10,55,92,76
1355663579,10,55,0,0
1355663580,0,55,0,0
1355663581,0,55,62,54
1355663582,2,55,0,0
1355663583,2,55,0,0
1355663584,32,56,0,0
1355663585,0,56,0,0
1355663586,0,56,170,130
1355663587,0,56,108,76
1355663588,2,56,0,0
1355663589,2,56,0,0
1355663590,0,56,0,0
1355663591,2,56,62,54
1355663592,2,58,0,0
1355663593,4,58,0,0
1355663594,0,58,0,0
1355663595,0,58,0,0
1355663596,2,58,62,127
1355663597,24,59,1646,2035
1355663598,0,59,120,108
1355663599,0,59,0,0
1355663600,12,59,0,0
1355663601,0,59,0,0
1355663602,2,59,0,0
1355663603,2,59,0,0
1355663604,20,58,0,0
1355663605,6,56,0,0
1355663606,4,56,60,54
